epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8658,1.72692,3.07292,1.91723,0.00678,0.83333,0.06103,0.0127,1.96445,3.77828,2.42083,1.667e-05,1.667e-05,1.667e-05
2,22.3883,1.67153,3.04321,1.75329,0.00894,1,0.08296,0.03188,1.88313,3.67291,2.34474,4.90198e-05,4.90198e-05,4.90198e-05
3,33.4415,1.69602,3.12095,1.86498,0.00773,0.91667,0.12709,0.05066,1.84232,3.64433,2.28025,8.00493e-05,8.00493e-05,8.00493e-05
4,45.6209,1.74047,3.23109,1.95555,0.00861,1,0.13509,0.05957,1.77891,3.52181,2.17564,0.000109759,0.000109759,0.000109759
5,58.9595,1.42014,3.0142,1.72753,0.00853,1,0.26118,0.09376,1.68679,3.45852,2.08196,0.000138148,0.000138148,0.000138148
6,72.4745,1.40415,2.94504,1.63426,0.00863,1,0.27039,0.11377,1.73952,3.38158,2.02208,0.000165216,0.000165216,0.000165216
7,87.6138,1.29935,2.7663,1.50019,0.00764,0.91667,0.30233,0.11173,1.77514,3.33944,2.00238,0.000190965,0.000190965,0.000190965
8,99.7371,1.26441,2.76005,1.55029,0.00766,0.91667,0.25364,0.0974,1.76184,3.37591,2.02619,0.000215393,0.000215393,0.000215393
9,110.635,1.24132,2.69109,1.52115,0.00693,0.79167,0.26771,0.09281,1.74851,3.37,1.98996,0.000238501,0.000238501,0.000238501
10,123,1.19253,2.60723,1.45723,0.0077,0.875,0.28334,0.10158,1.74289,3.37581,2.03045,0.000260289,0.000260289,0.000260289
11,137.25,1.16555,2.48662,1.44018,0.00783,0.875,0.24701,0.08925,1.71029,3.39684,2.04131,0.000280756,0.000280756,0.000280756
12,150.631,1.19874,2.50801,1.50842,0.00797,0.875,0.22948,0.09272,1.63736,3.38443,1.95369,0.000299903,0.000299903,0.000299903
13,163.963,1.2055,2.49875,1.50575,0.00824,0.875,0.33884,0.11608,1.60108,3.42387,1.98472,0.00031773,0.00031773,0.00031773
14,176.124,1.2799,2.34559,1.4618,0.00922,1,0.57593,0.1237,1.62195,3.38258,2.01808,0.000334237,0.000334237,0.000334237
15,189.089,1.24177,2.35603,1.50849,0.00821,0.91667,0.37999,0.11618,1.57903,3.35435,2.02321,0.000349423,0.000349423,0.000349423
16,204.091,1.11534,2.20299,1.4014,0.0082,0.91667,0.3714,0.12334,1.70262,3.23938,2.12542,0.000363289,0.000363289,0.000363289
17,217.765,1.20909,2.16587,1.51367,0.00806,0.91667,0.32164,0.14016,1.72545,3.21986,2.15042,0.000375835,0.000375835,0.000375835
18,229.376,1.16814,2.05725,1.41173,0.00789,0.91667,0.31341,0.11839,1.67997,3.23111,2.18128,0.000387061,0.000387061,0.000387061
19,241.553,1.16436,2.09515,1.48703,0.00803,0.91667,0.44547,0.13327,1.64241,3.33166,2.20883,0.000396966,0.000396966,0.000396966
20,255.198,1.12041,1.98524,1.44336,0.00811,0.91667,0.44751,0.10822,1.70841,3.36885,2.2264,0.000405551,0.000405551,0.000405551
21,267.957,1.12676,2.00194,1.54213,0.00799,0.91667,0.44049,0.10131,1.73265,3.2972,2.21494,0.000412816,0.000412816,0.000412816
22,279.661,1.14009,1.91522,1.44932,0.00793,0.91667,0.27437,0.07159,1.7967,3.32318,2.35478,0.00041876,0.00041876,0.00041876
23,291.64,1.15855,1.78936,1.47248,0.00875,1,0.34243,0.08406,1.7527,3.34727,2.20338,0.000423385,0.000423385,0.000423385
24,304.192,1.17537,1.7616,1.42765,0.00775,0.91667,0.50589,0.12739,1.86342,3.21934,2.22711,0.000426689,0.000426689,0.000426689
25,316.693,1.15272,1.7448,1.43174,0.52752,0.5694,0.49059,0.14974,1.88298,3.13154,2.23308,0.000428672,0.000428672,0.000428672
26,331.595,1.13459,1.61825,1.42443,0.77438,0.16667,0.49,0.14516,1.91231,3.11291,2.34111,0.000429336,0.000429336,0.000429336
27,343.245,1.25592,1.83073,1.5456,0.76208,0.16667,0.44921,0.11363,1.99155,3.16889,2.4043,0.000428679,0.000428679,0.000428679
28,354.997,1.24671,1.67448,1.43468,0.76208,0.16667,0.44921,0.11363,1.99155,3.16889,2.4043,0.000426702,0.000426702,0.000426702
29,366.199,1.19413,1.60441,1.40486,0.81065,0.27663,0.54937,0.13914,2.07413,3.09875,2.30908,0.000423405,0.000423405,0.000423405
30,378.445,1.07684,1.63197,1.31892,0.89943,0.33333,0.60627,0.18514,2.17514,3.06164,2.18579,0.000418787,0.000418787,0.000418787
31,390.838,1.12245,1.52777,1.4206,0.89943,0.33333,0.60627,0.18514,2.17514,3.06164,2.18579,0.000412849,0.000412849,0.000412849
32,401.804,1.02168,1.50431,1.3156,0.76009,0.25,0.45646,0.13395,2.1989,2.96725,2.23243,0.000405591,0.000405591,0.000405591
33,413.398,1.02518,1.3864,1.26714,0.7654,0.33333,0.43475,0.14966,2.16835,2.84514,2.31076,0.000397013,0.000397013,0.000397013
34,425.71,0.97316,1.32097,1.26916,0.7654,0.33333,0.43475,0.14966,2.16835,2.84514,2.31076,0.000387114,0.000387114,0.000387114
35,436.71,1.14401,1.55111,1.42117,0.79114,0.33333,0.44913,0.17689,2.22812,2.81476,2.43762,0.000375895,0.000375895,0.000375895
36,447.877,1.05481,1.48273,1.35822,0.77654,0.33333,0.43491,0.17243,2.19158,2.82189,2.37016,0.000363356,0.000363356,0.000363356
37,458.656,1.00861,1.37029,1.32798,0.77654,0.33333,0.43491,0.17243,2.19158,2.82189,2.37016,0.000349497,0.000349497,0.000349497
38,469.682,0.93833,1.19744,1.23961,0.78529,0.33235,0.48156,0.16861,2.16437,2.92916,2.40989,0.000334317,0.000334317,0.000334317
39,481.209,0.97232,1.29408,1.28015,0.65387,0.46146,0.64627,0.21346,2.12639,2.92699,2.40105,0.000317817,0.000317817,0.000317817
40,492.424,0.93981,1.29457,1.24385,0.65387,0.46146,0.64627,0.21346,2.12639,2.92699,2.40105,0.000299997,0.000299997,0.000299997
41,504.682,0.84728,1.5376,1.35698,0.67512,0.50663,0.62897,0.16603,2.2017,2.9848,2.54013,0.000280856,0.000280856,0.000280856
42,515.574,0.74607,1.43528,1.22795,0.58721,0.49683,0.55626,0.15089,2.11198,2.94301,2.64316,0.000260395,0.000260395,0.000260395
43,526.318,0.7882,1.36987,1.20549,0.58721,0.49683,0.55626,0.15089,2.11198,2.94301,2.64316,0.000238614,0.000238614,0.000238614
44,537.228,0.80195,1.31092,1.24332,0.60162,0.53184,0.64361,0.13051,2.15785,2.88689,2.75113,0.000215513,0.000215513,0.000215513
45,548.285,0.77892,1.37929,1.20174,0.60162,0.53184,0.64361,0.13051,2.15785,2.88689,2.75113,0.000191092,0.000191092,0.000191092
46,558.672,0.75224,1.47441,1.26694,0.64299,0.54001,0.68209,0.14286,2.24108,2.83533,2.90532,0.00016535,0.00016535,0.00016535
47,569.934,0.78078,1.43463,1.32109,0.64299,0.54001,0.68209,0.14286,2.24108,2.83533,2.90532,0.000138288,0.000138288,0.000138288
48,580.556,0.70954,1.29227,1.15401,0.64657,0.54539,0.58392,0.13234,2.33369,2.72485,3.04444,0.000109905,0.000109905,0.000109905
